"Gaia.DR3.ID";"RA (2016)";"DEC (2016)";"u_RA (2016)";"u_DEC (2016)";"Q (u_HIGH)";"U (u_HIGH)";"u_Q (u_HIGH)";"u_U (u_HIGH)";"P (u_HIGH)";"X (u_HIGH)";"u_P (u_HIGH)";"u_X (u_HIGH)";"Q (b_HIGH)";"U (b_HIGH)";"u_Q (b_HIGH)";"u_U (b_HIGH)";"P (b_HIGH)";"X (b_HIGH)";"u_P (b_HIGH)";"u_X (b_HIGH)";"Q (v_HIGH)";"U (v_HIGH)";"u_Q (v_HIGH)";"u_U (v_HIGH)";"P (v_HIGH)";"X (v_HIGH)";"u_P (v_HIGH)";"u_X (v_HIGH)";"Q (R_SPECIAL)";"U (R_SPECIAL)";"u_Q (R_SPECIAL)";"u_U (R_SPECIAL)";"P (R_SPECIAL)";"X (R_SPECIAL)";"u_P (R_SPECIAL)";"u_X (R_SPECIAL)";"Q (I_BESS)";"U (I_BESS)";"u_Q (I_BESS)";"u_U (I_BESS)";"P (I_BESS)";"X (I_BESS)";"u_P (I_BESS)";"u_X (I_BESS)"
"1";3903814625669868544;186.826186494603;9.45429840878711;1.40017800860935e-07;6.78431242704392e-08;NA;NA;NA;NA;NA;NA;NA;NA;0.000612398193787446;-0.00311873947464061;0.00575675096870151;0.00529367918504957;0.00180964506691281;-39.4453489983178;0.00531159286138568;51.7401037495355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.010148098109481;0.00928169676840042;0.00978333945663908;0.00718781414500744;45;0.00978333945663908;26.2020550950682
"2";3903626265584510976;186.822533872746;9.39497531163148;1.67203810479906e-07;9.20464595158895e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.0128903619812325;-0.000418583132177323;0.00577630218006944;0.00579086927670769;0.0116062178088212;-89.0700562780236;0.00577631754374788;12.8629707307972;-0.00345506901865232;0.00170135331771171;0.005927492699861;0.00549826015679647;0.00231879343112442;76.8916664571157;0.00584620010255852;41.5417565128869;-0.00324910873158204;-0.00186733244189431;0.0075314243283011;0.00781417239312815;0.00207692435805192;-75.056547148391;0.00760260996390171;59.2066387333465;0.00670404190662815;0.00056017148810992;0.00957548953385959;0.00979417998452668;0.00404602115768012;2.38819200209132;0.00957702299652028;41.7010209907879
"3";3903814900547783168;186.818698433138;9.4697655040289;5.02222900589307e-08;2.96200687686602e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.00023618874604227;-0.00873512004122357;0.00764172132340711;0.00713775926602054;0.00630079909621002;-45.7744210594919;0.00713814043431585;25.0516317933928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00162948616671674;0.00622286076346091;0.00358720219952434;0.00524369997163762;0.00541308657464432;37.66314198625;0.00515341779743779;16.5480311718172
"4";3903814007194917376;186.803534051631;9.40365037621395;1.17046849595176e-07;8.14487205611335e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.00147755829167559;-0.00342134613629498;0.00627817715605958;0.00580093648721246;0.00216240497913099;-56.6789032810322;0.00587852094798978;47.7027742545838;0.0324479729200943;-0.00575405679343376;0.0075466605498497;0.00764929185246499;0.0320671616781263;-5.02791258725328;0.00754981017414037;6.64701103395313;NA;NA;NA;NA;NA;NA;NA;NA;0.00047070090967667;0.0012031571418498;0.0109947598984898;0.0116430940915645;0.000650346454664369;34.3167478428756;0.0115591287190017;245.755257575401
"5";3903815587742551040;186.773421883128;9.47005673913007;9.64178476068709e-08;5.71416028671794e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.00265734235843955;4.2832187366948e-05;0.00521421192987615;0.00479356550971545;0.00151366015051381;89.5382809707792;0.00521410707872622;51.6722910429548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00152626928155454;0.0142594748693;0.00709371915731984;0.0076627853739686;0.0126128991444213;41.9452903730723;0.00765657648862281;14.1840265205342
"6";3903814041554288640;186.77174312635;9.40405881857912;2.71515713797675e-08;2.11309000021882e-08;NA;NA;NA;NA;NA;NA;NA;NA;0.00064760214207613;-0.00393617689572459;0.00352040690186127;0.00313694926729084;0.00286899090214415;-40.3285368612793;0.00314765482021098;25.2132652580173;0.00538882918367076;0.000442043767718908;0.00323137735478092;0.00263644094744513;0.00477175148782502;2.34472663662703;0.00322776490729294;13.9922556469846;2.65271874098309e-06;-0.000155286483702568;0.00315178230343974;0.00330004832982912;7.77487708384588e-05;-44.5106631223702;0.0033000060468601;581.377118600307;0.00615682650589632;0.00707635312898101;0.00343604068458498;0.00515384646823628;0.00841922149760869;24.4874454500484;0.00449495860006445;13.0167184348819
"7";3903815076641464832;186.752615729396;9.43090989936618;1.82897746562958e-07;1.03487049539884e-07;NA;NA;NA;NA;NA;NA;NA;NA;0.0279040477980823;-0.0228935547454788;0.0159492328163557;0.0149187040254174;0.0328460208283004;-19.6833858894055;0.0155428536496699;12.1768045914276;NA;NA;NA;NA;NA;NA;NA;NA;-0.148270511601783;-0.000499107632384099;0.012635947765726;0.0101474434899815;0.14792411244394;-89.9035659466688;0.0126359223446864;1.96061980979263;NA;NA;NA;NA;NA;NA;NA;NA
"8";3903815072346455040;186.746654961138;9.42991858400661;2.63485643598768e-07;1.42820212576124e-07;NA;NA;NA;NA;NA;NA;NA;NA;0.00951118894095697;-0.00645140014063631;0.00930829156231926;0.00861548808172277;0.00872029057499066;-17.0744412380108;0.00909567933536741;22.0345483300039;NA;NA;NA;NA;NA;NA;NA;NA;-0.0809550357701891;-0.00537650522316355;0.0159963852770344;0.0134829717850988;0.080011051326123;-88.1001840237175;0.0159862118031017;4.7650452221268;NA;NA;NA;NA;NA;NA;NA;NA
"9";3903626059426078208;186.832608824892;9.38422840698709;6.49788023697005e-08;4.4902219540543e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.00168322833460814;-0.00379071950999859;0.00306335705830562;0.00309940563444727;0.00319484656045959;-56.9715503255783;0.00309349742475163;21.1999847772338;-0.00359907965769705;0.000236398076479808;0.00375827666537332;0.00335651801423738;0.00253669562035488;88.1210218508622;0.00375664271591489;26.6742297499282;0.00131128790999897;-0.00105306028619313;0.00491717104703138;0.00523466085266341;0.000884793424942862;-19.383508494469;0.0050440314942324;87.087818603495;-0.00523640210410521;-0.00317357768261886;0.00635658109170257;0.00708346183428782;0.00400506627923256;-74.3907960177205;0.00655976511948312;32.2631084714713
"10";3903814488231262720;186.81541772644;9.43643656605957;7.31142527527279e-08;4.90872603323725e-08;NA;NA;NA;NA;NA;NA;NA;NA;-0.00112965126244183;0;0.0032968297372145;0.00333762544380574;0.000595976629657022;90;0.0032968297372145;84.6419854885942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
